"Período";"Producción Petrolera Nacional en Barriles - Diaria"
"2019-07-24 00:00:00";545992,46
"2019-07-25 00:00:00";544607,73
"2019-07-26 00:00:00";544812,96
"2019-07-27 00:00:00";546396,72
"2019-07-28 00:00:00";547075,75
"2019-07-29 00:00:00";549074,06
"2019-07-30 00:00:00";548379,84
"2019-07-31 00:00:00";550164,06
"2019-08-01 00:00:00";550264,7
"2019-08-02 00:00:00";532995,07
"2019-08-03 00:00:00";547066,58
"2019-08-04 00:00:00";553961,01
"2019-08-05 00:00:00";555403,81
"2019-08-06 00:00:00";555424,89
"2019-08-07 00:00:00";544214,45
"2019-08-08 00:00:00";552590,17
"2019-08-09 00:00:00";550692
"2019-08-10 00:00:00";551955,72
"2019-08-11 00:00:00";551462,94
"2019-08-12 00:00:00";553079,68
"2019-08-13 00:00:00";549451,17
"2019-08-14 00:00:00";550498,12
"2019-08-15 00:00:00";553687
"2019-08-16 00:00:00";555659,1
"2019-08-17 00:00:00";556278,99
"2019-08-18 00:00:00";553322,66
"2019-08-19 00:00:00";549491,82
"2019-08-20 00:00:00";525337,62
"2019-08-21 00:00:00";548376,21
"2019-08-22 00:00:00";553845,62
"2019-08-23 00:00:00";553724,28
"2019-08-24 00:00:00";552778,74
"2019-08-25 00:00:00";551482,65
"2019-08-26 00:00:00";549476,6
"2019-08-27 00:00:00";552540,97
"2019-08-28 00:00:00";550665,21
"2019-08-29 00:00:00";550494,28
"2019-08-30 00:00:00";551212,19
"2019-08-31 00:00:00";549897,49
"2019-09-01 00:00:00";553982,03
"2019-09-02 00:00:00";551055,38
"2019-09-03 00:00:00";551499,98
"2019-09-04 00:00:00";551094,86
"2019-09-05 00:00:00";548981,23
"2019-09-06 00:00:00";549122,48
"2019-09-07 00:00:00";548806,08
"2019-09-08 00:00:00";549026,58
"2019-09-09 00:00:00";547464,22
"2019-09-10 00:00:00";548275,49
"2019-09-11 00:00:00";544256,49
"2019-09-12 00:00:00";546734,08
"2019-09-13 00:00:00";545594,51
"2019-09-14 00:00:00";548947,56
"2019-09-15 00:00:00";548135,75
"2019-09-16 00:00:00";547414,74
"2019-09-17 00:00:00";546396,27
"2019-09-18 00:00:00";547701,96
"2019-09-19 00:00:00";549102,84
"2019-09-20 00:00:00";546831,15
"2019-09-21 00:00:00";545781,85
"2019-09-22 00:00:00";546552,21
"2019-09-23 00:00:00";545581,22
"2019-09-24 00:00:00";544529,55
"2019-09-25 00:00:00";546562,45
"2019-09-26 00:00:00";542063,96
"2019-09-27 00:00:00";538433,47
"2019-09-28 00:00:00";534245,86
"2019-09-29 00:00:00";544629,9
"2019-09-30 00:00:00";548195,14
"2019-10-01 00:00:00";546177,93
"2019-10-02 00:00:00";546630,36
"2019-10-03 00:00:00";546522,48
"2019-10-04 00:00:00";545583,61
"2019-10-05 00:00:00";545043,05
"2019-10-06 00:00:00";542079,11
"2019-10-07 00:00:00";484764,87
"2019-10-08 00:00:00";339004,59
"2019-10-09 00:00:00";235029,56
"2019-10-10 00:00:00";225682,57
"2019-10-11 00:00:00";218824,82
"2019-10-12 00:00:00";203186,43
"2019-10-13 00:00:00";185032,41
"2019-10-14 00:00:00";297557,42
"2019-10-15 00:00:00";484979,47
"2019-10-16 00:00:00";503926,8
"2019-10-17 00:00:00";519609,61
"2019-10-18 00:00:00";526010,41
"2019-10-19 00:00:00";526239,34
"2019-10-20 00:00:00";527454,68
"2019-10-21 00:00:00";531553,36
"2019-10-22 00:00:00";533427,23
"2019-10-23 00:00:00";533419,81
"2019-10-24 00:00:00";537577,64
"2019-10-25 00:00:00";537737,41
"2019-10-26 00:00:00";540806,74
"2019-10-27 00:00:00";540541,07
"2019-10-28 00:00:00";543433,73
"2019-10-29 00:00:00";537032,65
"2019-10-30 00:00:00";548452,42
"2019-10-31 00:00:00";552636,72
"2019-11-01 00:00:00";554640,03
"2019-11-02 00:00:00";553868,35
"2019-11-03 00:00:00";553413,92
"2019-11-04 00:00:00";555228,94
"2019-11-05 00:00:00";552838,45
"2019-11-06 00:00:00";554465,04
"2019-11-07 00:00:00";552494,25
"2019-11-08 00:00:00";550540,83
"2019-11-09 00:00:00";549782,3
"2019-11-10 00:00:00";549609,53
"2019-11-11 00:00:00";548042,03
"2019-11-12 00:00:00";537355,08
"2019-11-13 00:00:00";548086,18
"2019-11-14 00:00:00";548038,9
"2019-11-15 00:00:00";547678,92
"2019-11-16 00:00:00";546544,94
"2019-11-17 00:00:00";536850,43
"2019-11-18 00:00:00";544989,17
"2019-11-19 00:00:00";548941,75
"2019-11-20 00:00:00";539089,28
"2019-11-21 00:00:00";544496,34
"2019-11-22 00:00:00";547820,74
"2019-11-23 00:00:00";543252,35
"2019-11-24 00:00:00";547732,89
"2019-11-25 00:00:00";544401,1
"2019-11-26 00:00:00";547632,65
"2019-11-27 00:00:00";548114,56
"2019-11-28 00:00:00";547927,66
"2019-11-29 00:00:00";501431,85
"2019-11-30 00:00:00";545457,13
"2019-12-01 00:00:00";545661,24
"2019-12-02 00:00:00";529007,2
"2019-12-03 00:00:00";544278,24
"2019-12-04 00:00:00";540042,89
"2019-12-05 00:00:00";527470,88
"2019-12-06 00:00:00";545380,76
"2019-12-07 00:00:00";544298,78
"2019-12-08 00:00:00";548419,78
"2019-12-09 00:00:00";548075,8
"2019-12-10 00:00:00";547388,58
"2019-12-11 00:00:00";548230,98
"2019-12-12 00:00:00";546740,02
"2019-12-13 00:00:00";546085,82
"2019-12-14 00:00:00";546851,17
"2019-12-15 00:00:00";546680,39
"2019-12-16 00:00:00";546474,55
"2019-12-17 00:00:00";544402,09
"2019-12-18 00:00:00";540834,54
"2019-12-19 00:00:00";536807,62
"2019-12-20 00:00:00";541790,98
"2019-12-21 00:00:00";542636,64
"2019-12-22 00:00:00";542311,82
"2019-12-23 00:00:00";542139,04
"2019-12-24 00:00:00";541758,34
"2019-12-25 00:00:00";541788,81
"2019-12-26 00:00:00";541658,34
"2019-12-27 00:00:00";541673,57
"2019-12-28 00:00:00";532204,23
"2019-12-29 00:00:00";531332,95
"2019-12-30 00:00:00";539206,74
"2019-12-31 00:00:00";539177,32
"2020-01-01 00:00:00";537684,3
"2020-01-02 00:00:00";535690,93
"2020-01-03 00:00:00";535422,07
"2020-01-04 00:00:00";520254,02
"2020-01-05 00:00:00";534532,3
