SQLDATE,avg_goldstein,avg_tone,event_count
20100405,2.0799999999999996,6.66666666666667,10
20100403,7,1.5552099533437,6
20100402,7,6.59805030778538,2
20100401,-4,1.22448979591837,2
20100331,4.2700000000000005,3.3800112005321039,10
20100330,1,7.20720720720721,2
20100328,-6.5,2.67062314540059,2
20100327,4.9,5.3858460380199507,2
20100326,4.0500000000000007,6.2044862255261517,6
20100325,2.3499999999999996,3.76028202115159,8
20100323,2.4999999999999996,9.14454277286136,3
20100322,-4,7.37704918032787,2
20100320,2.3499999999999996,3.26481257557437,6
20100319,-4,8.48214285714286,1
20100318,2.125,7.0367132867132849,8
20100317,1,5.20833333333333,1
20100316,1,5.20231213872832,1
20100313,2.3499999999999996,3.56125356125356,2
20100312,7,9.92108229988726,6
20100309,2.3499999999999996,5.5831540082667646,8
20100307,1.9,9.2948956088862467,5
20100305,1.6749999999999998,7.71604938271605,4
20100303,2.3499999999999996,0.581395348837209,2
20100227,-4.25,5.4237206387851646,4
20100224,-4,3.3543483590767353,2
20100223,1.2176470588235295,5.3475965274455062,17
20100222,2.3666666666666667,5.3737537686445815,18
20100221,3.7384615384615389,5.5989453633529589,13
20100220,4.8555555555555561,5.346130085087494,9
20100219,1.1416666666666666,5.5695440349398142,12
20100218,1.1875,6.8167779486655622,8
20100217,2.0800000000000005,3.8363257772144346,10
20100216,-0.10000000000000009,5.60353026210674,3
20100214,2.35,3.58974358974359,4
20100213,1.3374999999999997,6.002818539727989,8
20100212,1.1874999999999996,5.8876047501515991,32
20100211,0.27333333333333326,4.6932071097989754,45
20100210,2.7294117647058833,6.2316905959089723,68
20100209,2.6329896907216486,5.8139689160246331,97
20100208,1.73125,6.1101941102103394,32
20100207,1.9,5.02092050209205,1
20100206,2.8,3.00494267115876,1
20100205,3.175,3.1637806637806651,8
20100204,1.8909090909090909,4.3318147476703937,33
20100203,1.4058823529411766,4.7884231562712261,17
20100202,1.7199999999999998,6.7497072738291184,10
20100201,-4,5.11363636363636,1
20100131,2.3499999999999996,2.41935483870968,4
20100130,2.3499999999999996,5.4537370547785713,10
20100129,1.6499999999999995,4.7474252501047358,12
20100128,3.3777777777777778,6.3965333817023557,9
20100127,-1.22,10.2983783783784,5
20100126,2.45,6.02660572471493,30
20100125,1,2.7750739628072383,5
20100124,2.2375,7.8256688811989852,8
20100123,2.5749999999999997,6.3969948198793247,4
20100122,2.2521739130434781,7.8486306672281332,23
20100121,-3.0875000000000004,6.2955414100318627,8
20100120,-1.3727272727272728,6.4329804756745723,22
20100119,-6.2,6.4107497201017285,5
20100117,1,8.42459471852831,7
20100115,-0.66666666666666652,2.8348783600440135,3
20100114,1.9,8.30480914016051,2
20100113,2.0285714285714285,5.2327906834949092,7
20100112,3.3916666666666666,5.8517836978615341,12
20100111,-1.5499999999999998,5.9375340446294693,2
20100109,6.2714285714285714,8.0773606370876,7
20100108,1,4.6769790536993723,4
20100106,3.4000000000000004,4.81028586062644,4
20100105,4.87,5.121504905654251,10
20100104,3.34375,4.8647086325474422,16
20100103,2.8,5.76131687242798,1
20100102,4.2727272727272725,8.0202409282288833,11
20091231,1,6.47058823529412,2
20091230,1.9000000000000001,6.3438445640900269,8
20091229,2.1999999999999997,5.65761137489946,3
20091228,1.9,5.88235294117647,1
20091227,2.3499999999999996,3.95348837209302,2
20091225,2.3499999999999996,3.4385074524860406,8
20091224,2.4545454545454546,3.3517029142053856,11
20091223,-2.3,2.4289004559013474,8
20091222,0.68285714285714272,4.4108748086297958,35
20091219,-6.5,4.798173586064,2
20091218,-1.0666666666666667,6.7046296008041333,9
20091217,3.08,8.2097474004019571,10
20091216,1.5699999999999998,5.30834495767256,10
20091215,0.81052631578947376,5.1911912922605881,19
20091214,3.9105263157894741,6.2550097776442746,19
20091213,1.45,7.74352573985881,4
20091212,0.87999999999999989,4.332884824852858,5
20091211,0.48260869565217379,6.0365951183964022,23
20091210,2.1708333333333334,5.6271140406713753,24
20091209,2.5,6.62556143195046,3
20091208,1.45,5.46580491115526,4
20091207,2.3499999999999996,4.02174384569559,6
20091205,3.61,5.44386476389058,20
20091204,3.5090909090909088,6.7350886709980919,11
20091203,3.2285714285714286,6.718782861527905,35
20091202,1.91,5.103129200156129,10
20091201,1.9562499999999996,4.2240445432037816,16
20091130,4,7.67743678610692,2
20091129,1.9,9.9301173053023888,4
20091128,1.1,4.4939738809263963,9
20091127,0.3312500000000001,7.9372333716883015,16
20091126,0.6454545454545455,6.4142257258675937,11
20091125,1.6730769230769234,10.208802673451482,26
20091124,1.033333333333333,10.15007410541797,21
20091123,0.90000000000000013,8.86069705678826,16
20091122,1.9,8.94746862074876,2
20091121,1.6749999999999998,6.4830668489144623,4
20091120,-4,5.41516245487365,3
20091119,-2.525,5.3051376667612873,4
20091118,1.45,4.8319978522159381,4
20091117,-2,5.6155419809381764,3
20091114,-0.28000000000000014,5.6633365516207421,5
20091113,-4.5,6.1822048918823143,2
20091112,7,1.68697282099344,2
20091111,1.2699999999999998,4.9285829625654456,10
20091110,4.66,4.3296247528094725,20
20091109,0.79166666666666663,5.2267274321381638,12
20091108,6.2714285714285714,7.0027593407412922,7
20091107,-2.5500000000000003,6.2019063553513627,6
20091106,1.0368421052631576,4.8404660427189894,19
20091105,-1.0692307692307692,5.750515287702008,13
20091104,-4,4.4835218999174753,4
20091103,2.65,5.6982863031115434,16
20091102,2.3499999999999996,6.95014379094693,2
20091101,2.3499999999999996,6.20784111773244,2
20091031,1.9000000000000001,10.745995423340966,6
20091030,2.3217391304347821,6.2407171935565708,46
20091029,1.8723404255319158,4.4812146406233486,47
20091028,2.3499999999999996,2.2942988734574596,8
20091027,3.9714285714285715,4.3716830110364056,21
20091026,1.9,3.376636950897173,2
20091025,4.166666666666667,4.2247054747054733,9
20091024,2.3909090909090907,5.5331958945062416,11
20091023,1.1233333333333324,7.4134240987697533,90
20091022,2.0333333333333332,6.1931773892104829,36
20091021,1.1181818181818182,5.5974095574273663,11
20091020,1.9111111111111112,7.8139340387650291,9
20091019,-0.46923076923076956,3.689972164120968,13
20091018,2.75,3.5699844058722849,14
20091017,1.5027027027027025,5.3702781095354553,37
20091016,-4.5,3.71517027863777,4
20091015,0.69411764705882351,4.979877584823388,17
20091014,4.25,3.7810420257102275,8
20091013,2.9947368421052634,3.8751892574349118,19
20091012,4.6,5.8367605188231542,10
20091011,3.1750000000000003,3.7832742048376193,4
20091010,4.75,4.0182648401826491,8
20091009,0.057142857142857009,5.790113856256542,35
20091008,2.4892857142857143,4.4928788966102928,28
20091007,3.6789473684210532,4.8961907125249162,38
20091006,4.1285714285714281,6.8979812340010138,21
20091005,3.5285714285714285,2.7315280381969078,14
20091004,1.2349999999999999,4.9998980359735921,20
20091003,2.3499999999999996,5.09259259259259,2
20091002,0.52272727272727271,5.0505069148192376,22
20091001,4.0045454545454549,4.79111196309619,44
20090930,4.05483870967742,5.0829393976288255,31
20090929,-1.4811320754716986,5.6371490844865972,53
20090928,-3.8275862068965516,6.0756405172820864,29
20090927,2.4142857142857141,6.4163411339491052,7
20090926,-4,6.04229607250755,1
20090925,1.1888888888888887,4.7604858808838939,9
20090924,-0.79999999999999982,5.2972113013230864,21
20090923,2.0142857142857138,6.0718858333819465,21
20090922,0.92499999999999971,6.0999415383454458,12
20090921,0.76666666666666661,6.0104049546216425,12
20090920,1.98125,4.535605593818687,16
20090919,1.5235294117647058,4.8290010232601679,17
20090918,2.0318181818181817,5.6398091602342264,22
20090917,2.9833333333333334,6.4693682013265157,18
20090916,2.2754385964912283,4.7940422559513172,57
20090915,2.7130434782608694,4.9425048540340759,23
20090914,1.8205882352941178,4.0339443903622207,34
20090912,2.6923076923076921,3.8582642893338228,26
20090911,0.93076923076923068,4.7721189237304555,39
20090910,1.8083333333333329,5.8148383948707014,12
20090909,2.3727272727272721,4.8773081879563982,33
20090908,3.8555555555555547,5.3818097971574215,27
20090907,4.0571428571428569,6.0059378600563695,21
20090906,5.1400000000000006,4.292042083503242,20
20090905,1.8812500000000003,5.2064460724494026,16
20090904,0.91066666666666674,3.812632441771,75
20090903,-0.9125000000000002,4.4754610186341424,16
20090902,3.6111111111111107,3.6089981913841362,27
20090901,2.2233333333333327,4.41612809050814,60
20090831,2.6195121951219509,4.7849463985090441,123
20090830,3.825,5.8132205918213753,12
20090829,1.671428571428571,4.7332359396474644,14
20090828,4.3374999999999995,3.8055118290063534,8
20090826,0.099999999999999867,5.4235767814929474,29
20090825,1.2666666666666664,5.99424183955194,30
20090824,2.5162162162162161,4.57735693117517,37
20090823,2.7,4.9391285924333523,24
20090822,3.6727272727272733,3.22525299423834,11
20090821,1.072,4.27321322960739,25
20090820,3.4333333333333331,6.0218205323383387,6
20090819,3.6125000000000003,6.1211502246316805,16
20090818,6.0699999999999994,4.9458449851851984,10
20090817,4.4666666666666668,7.3566440598391463,9
20090816,0.59999999999999987,8.7068563914163946,7
20090815,1.1071428571428572,8.563417598071327,14
20090814,2.4777777777777774,4.9616875166385617,27
20090813,3.4642857142857149,5.8603884575978453,56
20090812,2.2857142857142856,5.0246139294026007,49
20090811,2.1242718446601936,5.9763067117078457,103
20090810,1.9324561403508773,4.2854236452530055,114
